period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label
3.578780566,2.91089,11382.0,10.43,406.6,1145.0,5524.0,0.994,4.421,13.938,1
3.187067566,3.119,1037.4,23.88,319.76,1079.0,5450.0,0.811,4.552,15.653,0
5.826657508,2.9183,1539.1,4.09,248.57,1013.0,5561.0,1.06,4.362,15.843,1
12.41216347,3.739,611.3,2.58,90.65,787.0,5561.0,1.06,4.362,15.843,1
18.74649011,3.895,796.8,3.05,52.38,686.0,5561.0,1.06,4.362,15.843,1
20.86021229,5.1937,1910.5,5.5,87.76,781.0,6035.0,1.257,4.22,15.237,1
42.63427848,6.1998,1719.3,5.22,33.82,615.0,6035.0,1.257,4.22,15.237,1
87.6476068,8.871,1009.6,4.0,12.94,484.0,6035.0,1.257,4.22,15.237,1
9.467821474,2.4327,2237.0,2.13,6.47,407.0,3582.0,0.458,4.807,15.073,1
0.893040969,1.0981,741.7,1.24,151.14,893.0,3582.0,0.458,4.807,15.073,1
4.942783419,3.25346,11145.0,10.62,244.42,1008.0,5514.0,0.978,4.459,13.758,1
20.83426731,4.0454,988.4,2.74,29.62,595.0,5537.0,0.88,4.549,15.412,1
9.94602357,3.3862,994.5,3.12,100.34,807.0,5344.0,1.013,4.365,15.596,1
1.04562195,1.8955,213.0,1.45,2031.84,1710.0,5344.0,1.013,4.365,15.596,1
5.71462396,2.336,297.8,1.78,210.16,971.0,5344.0,1.013,4.365,15.596,1
102.9641952,15.735,1896.7,39.0,95.4,797.0,5047.0,7.119,3.066,13.608,0
8.14515981,5.073,446.8,3.43,287.91,1050.0,5896.0,1.24,4.197,14.925,1
18.9985279,4.529,430.7,43.17,93.03,792.0,5896.0,1.24,4.197,14.925,1
4.24439049,3.282,174.0,2.07,686.99,1305.0,5896.0,1.24,4.197,14.925,1
28.5742692,4.9427,824.9,2.32,19.83,538.0,5551.0,0.812,4.508,13.771,1
