koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_steff,koi_srad,koi_disposition
3.08942807,3.214,85.3,13.2,1.07,6137.0,1.103,CANDIDATE
21.2360024,4.019,104.4,15.7,2.62,6035.0,2.559,CANDIDATE
14.591504451,1.1295,1490.5,68.0,36.85,5940.0,1.312,CANDIDATE
1.242639742,1.763,159.3,16.1,1.02,5520.0,0.818,CANDIDATE
0.536650319,2.383,41.9,31.0,1.35,6020.0,2.0,CANDIDATE
6.09595681,5.502,65.7,18.1,1.26,6313.0,1.467,CANDIDATE
13.2511214,4.996,266.5,15.2,1.98,5850.0,1.217,CANDIDATE
11.682369,2.71,234.5,11.2,1.45,6089.0,0.889,CANDIDATE
10.12956201,3.044,81.3,12.2,0.78,5383.0,0.842,CANDIDATE
21.61313362,1.52,818.1,13.8,1.94,5267.0,0.632,CANDIDATE
27.9430245,6.125,308.6,12.3,2.21,6468.0,1.25,CANDIDATE
0.977311489,1.403,250.7,14.8,1.06,4805.0,0.688,CANDIDATE
0.896382269,1.113,136.4,11.7,1.0,5837.0,0.843,CANDIDATE
11.45541896,4.95,68.6,15.8,1.12,6231.0,1.356,CANDIDATE
44.433726,6.118,239.6,8.0,1.85,5596.0,1.145,CANDIDATE
3.91679553,2.072,161.3,13.2,0.85,4889.0,0.686,CANDIDATE
43.1024434,7.124,299.8,14.3,1.88,5741.0,1.097,CANDIDATE
31.4452709,1.758,531.1,12.7,4.55,6172.0,1.471,CANDIDATE
8.85686712,0.606,319.2,11.9,1.88,5017.0,0.797,CANDIDATE
12.99065074,2.3748,392.3,42.5,2.02,5787.0,1.027,CANDIDATE
82.6595174,3.48,1270.7,17.1,2.03,3952.0,0.553,CANDIDATE
24.3367026,2.539,551.1,13.4,1.95,5141.0,0.806,CANDIDATE
7.40985182,1.131,201.1,13.5,1.18,5462.0,0.836,CANDIDATE
15.5943758,7.367,95.4,11.9,1.08,6249.0,1.076,CANDIDATE
75.731195,4.859,2496.0,16.3,3.47,3891.0,0.564,CANDIDATE
152.1060435,7.4517,3688.3,116.3,11.58,6200.0,1.64,CANDIDATE
7.25101997,2.799,122.8,12.2,0.91,5382.0,0.827,CANDIDATE
57.3840375,4.336,241.7,22.9,1.62,5250.0,0.79,CANDIDATE
2.5738437,1.92,46.6,10.9,0.57,5115.0,0.854,CANDIDATE
10.18318233,3.137,51.5,11.2,0.79,5843.0,1.084,CANDIDATE
6.2321233,2.85,31.7,8.5,0.61,5843.0,1.084,CANDIDATE
8.2942929,3.976,36.8,10.1,0.65,5843.0,1.084,CANDIDATE
12.82993461,2.942,1417.4,79.6,3.31,5862.0,0.844,CANDIDATE
