period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,planetTd,StarID
3.1274634,1.9812695,1331.83693,2.5802896,103.2675998,813.0378617,4225.0,0.693431,4.5756,10.8116,1,1260.01,355867695
7.4931613,1.9339295,1650.6470497,2.7733674,32.2107098,607.6028794,4225.0,0.693431,4.5756,10.8116,1,1260.02,355867695
49.825166,3.8714976,2059.4069037,3.8319135,2.5760566,323.1161011,4225.0,0.693431,4.5756,10.8116,1,1260.03,355867695
2.2047452,3.996,6872.0,17.9781,7992.22,2634.0,6532.23,1.99,3.96818,10.0274,1,1265.01,424865156
10.8948421,2.0719394,3168.3853584,2.4691414,5.5137471,390.8242112,3618.0,0.435666,4.79432,11.0402,1,1266.01,467179528
18.8016111,1.9093524,1686.7881033,1.9112282,2.6636757,325.8292621,3618.0,0.435666,4.79432,11.0402,1,1266.02,467179528
6.7900981,6.0786576,2158.1733568,9.7548481,477.5289979,1192.2564672,6378.0,2.00068,4.438,11.636,1,1267.01,158561566
8.157721,3.788,10273.0,9.31888,91.0972,860.0,5091.2,0.9,4.47,10.1495,1,1268.01,142394656
4.2529641,2.5733867,758.584999,2.3483383,231.2034004,994.5309519,5591.0,0.848906,4.38111,10.9897,1,1269.01,198241702
3.7955178,2.0198135,52278.9940979,10.3261619,18.0832336,525.9431131,3424.0,0.445372,4.438,14.1266,1,127.01,234523599
14.3034613,3.135,48840.0,18.4949,15.38,551.0,5056.6,0.83,4.53,11.463,0,1270.01,237200747
6.1349783,5.661,3860.0,13.1383,861.554,1509.0,5828.7,2.05,3.84,7.4556,1,1271.01,286923464
3.3159772,1.494,2770.0,4.5947,120.595,923.0,4972.7,0.81,4.54,11.0244,1,1272.01,417948359
4.6313014,1.435,4860.0,9.34848,225.013,1078.0,5736.0,1.07,4.39,10.418,1,1273.01,445859771
11.3246821,5.9704136,1937.5829721,4.2917226,59.1706102,707.3693882,5518.0,0.824734,4.59176,10.5954,0,1275.01,13499636
6.261169,2.0369188,4005.022808,1.3468319,6.9816945,414.5815396,3145.0,0.211257,5.04431,12.5405,0,1276.01,43064903
14.4751062,1.6182484,9618.5798534,8.6976173,6.5402175,407.866275,3841.0,0.55035,4.69364,11.7819,1,1278.01,163539739
9.6141636,3.4271882,933.6532689,3.2264735,74.7359105,749.8978043,5477.0,0.840608,4.5707,9.99454,1,1279.01,224297258
4.9404714,1.954,455.0,2.3216,320.012,1178.0,6086.0,1.13,4.26269,7.9849,1,128.01,391949880
0.9689927,2.5496309,13532.9710157,17.1331258,6992.032823,2332.2259008,6430.0,1.41398,4.25113,11.4373,1,1282.01,236445129
10.338505,4.242,18162.0,11.8729,110.512,903.0,5336.96,0.84,4.55466,9.7525,1,1283.01,266593143
1.283251,2.012261,1961.318203,2.558112,172.0252913,923.6720985,3855.0,0.560391,4.68499,12.5313,0,1284.01,267561446
1.2284388,1.9190118,1229.4965125,1.866263,118.2802346,841.1003116,3526.0,0.53023,4.71105,10.9313,0,1285.01,274662200
2.6998294,2.208,2798.0,4.94551,1198.41,1639.0,6180.0,0.92,4.57956,9.93119,1,1288.01,365733349
0.581322,1.3261177,3206.6010016,2.2014886,194.5178158,952.4881815,3446.0,0.38621,4.83941,12.9984,0,1289.01,408203470
0.980972,0.5405036,6178.392421,5.9162923,719.5629045,1320.951709,4486.0,0.764401,4.49914,9.9005,1,129.01,201248411
5.3987355,3.127,352.0,2.25345,335.249,1192.0,5875.23,1.26,4.26474,9.50898,1,1290.01,417676622
1.4412175,1.666,12927.0,17.0442,1160.55,1626.0,5672.9,1.46,4.13,9.84566,0,1292.01,199688472
3.9152737,2.562,3350.0,9.43435,311.498,1170.0,5714.0,1.58,4.05,10.9458,1,1294.01,219015370
3.1968838,3.7533697,7958.980656,14.9685779,1843.1329908,1671.1249287,6470.0,1.59715,4.15,10.7973,1,1295.01,219852584
3.9443668,4.8652146,6732.488454,14.5727196,1078.5986988,1461.6208264,5494.0,1.75475,3.93,10.8041,1,1296.01,219854185
4.5371361,4.042155,4199.7558754,9.8153513,732.0077048,1326.6264827,5731.0,1.48668,4.1,10.9585,1,1298.01,237104103
